2,DISTRICT_NAME,FISCAL_YEAR,Member,Instruction,Pupil_Staff_Support,Admin,Operation_Other,Transportation_cost,Facility_cost,Food_comm_service_cost
CODE,Use arrow at right to select district.,0,0,0,0,0,0,0,0,0
7,Abbotsford,2019,767,4900421.54,532611.13,1006530.8,1788218.1,333778.82,1274752,603227.06
14,Adams-Friendship Area,2019,1606,11697411.8,2168049.91,1978723.2,3029979.29,1092288.17,886529.6,1216415.84
63,Albany,2019,449,3859375.73,596690.64,548240.99,616718.39,242293.4,417849,176392.32
70,Algoma,2019,750,4573925.75,837964.41,921026.55,1426256.96,252000.13,873236.41,660564.44
84,Alma,2019,223,1687675.82,244134.34,411002.76,578439.43,204943.85,258478.19,163031.75
91,Alma Center,2019,569,4242835.42,500302.24,784053.44,1160250.8,365731.75,1458297.16,400766.36
105,Almond-Bancroft,2019,452,3647329.7,496836.49,482656.49,805753.76,402405.98,115421.48,215999.29
112,Altoona,2019,1517,10618675.45,2245475.83,1813939.75,2790158.14,867232.92,1944548.13,874634.33
119,Amery,2019,1653,11944971.92,1837532.28,2049050.98,2723992.12,1150719.85,2114883.46,1818554.53
140,Antigo,2019,2383,17090152.47,2725332.81,2868460.02,3847201.25,1734648.55,1233154,1615103.89
147,Appleton Area,2019,15486,107945250.3,21770246.02,11924104.83,29792606.33,5515760.1,11299960.06,8039561.32
154,Arcadia,2019,1324,9816286.63,2030243.45,1171930.99,2169412.74,572307.28,2168953.78,840862.14
161,Argyle,2019,298,2435662.85,254619.62,544727.06,484727.19,251540.19,597338.99,157452.84
2450,Arrowhead UHS,2019,2095,14948812.87,3007477.27,1973427.99,3926506.03,877665.83,3759026.09,1507964.66
170,Ashland,2019,2212,16179950.75,3154734.29,2196873.81,4221546.7,1868514.45,2311212.46,1079805.02
182,Ashwaubenon,2019,2302,15968292.61,2944156.38,2703044.28,4860120.63,1099456.04,3016014.28,2358208.67
196,Athens,2019,428,3906688.66,480583.38,698206.35,867306.5,462904.7,12864.46,248069.15
203,Auburndale,2019,773,5949118.17,895242.02,1155632.63,1250170.17,631332.62,582927.8,350613.62
217,Augusta,2019,609,4738527.06,881590.67,1026094.19,1663307.7,382924.14,650210,633276.89
231,Baldwin-Woodville Area,2019,1712,11250637.64,1950673.12,1414835.29,2443805.32,744387.09,2809288.55,1678940.2
245,Bangor,2019,606,4319292.26,643999.2,854757.47,1034897.8,423317.82,1153862.31,319323.12
280,Baraboo,2019,3031,21620648.06,5036918.6,2877533.59,3662274.23,1298846.59,2533425.85,2039360.64
287,Barneveld,2019,413,3526426.81,370287.68,503733.34,656793.16,218335.24,295937.05,180240.68
308,Barron Area,2019,1431,11567777.58,1761975.81,1609832.58,3219660.79,977024.03,772155.95,996765.17
315,Bayfield,2019,440,5481304.66,1290038.98,871261.92,1266403.19,571083.14,1133949.51,422356.04
336,Beaver Dam,2019,3497,25538501.52,4175489.46,3336606.52,6371921.45,1472319,3869647.38,1883772.72
4263,Beecher-Dunbar-Pembine,2019,237,2483076.92,398155.63,608066.11,536512.17,185646.85,39371.2,205060.13
350,Belleville,2019,960,6937955.71,1276782.35,1188416.75,1944175.38,383473.99,1069493.75,518055.07
364,Belmont Community,2019,376,2864066.9,377011.84,442065.02,707574.72,171934.95,336600,183671.62
413,Beloit,2019,7224,55755472.86,11673897.65,6720127.66,15379597.71,2565713.22,11144888.16,5641040.37
422,Beloit Turner,2019,1202,7142345.66,2172067.55,1389534.67,3108043.92,742878.92,2043406.54,583120.44
427,Benton,2019,235,1928511.25,123994.49,624564.45,552312.82,147572.14,343665,176146.81
434,Berlin Area,2019,1631,11650968.37,2395046.89,1482805.86,2320608.92,1034938.42,1574094.48,829151.8
6013,Big Foot UHS,2019,499,3494275.44,787738.11,805647.6,1522791.53,447440.76,645533.58,872752.91
441,Birchwood,2019,206,1677117.67,382741.36,595860.75,475417.15,282725.11,952356.06,338240.41
2240,Black Hawk,2019,416,3450694.79,394391.16,540934.42,661935.18,186513.86,178284.55,195360.6
476,Black River Falls,2019,1756,12576962.99,2306055.42,2104188.94,2595319.46,910664.09,2582381.74,1127347.5
485,Blair-Taylor,2019,638,4700312.51,745178.69,811057.71,1045547.55,459126.56,1235300.52,361619.21
497,Bloomer,2019,1284,8650571.27,1692190.34,1482666.28,1779148.35,998616.95,2089376.25,505821.74
602,Bonduel,2019,843,6366801.36,808458.63,1032689.7,1428077.03,517381.7,850163.25,386569.38
609,Boscobel,2019,819,7302111.48,777054.54,918398.76,1389023.81,372536.67,6575.23,430334.57
623,Bowler,2019,410,3517970.91,469327.61,661911.93,1072497.98,415188.33,25414.07,237041.78
637,Boyceville Community,2019,718,5453000.06,840213.68,1007877.93,1323924.65,486973.81,991500,473552.95
657,Brighton #1,2019,114,392147.6,142120.23,252577.94,356881.6,112336.18,171930,74478.84
658,Brillion,2019,913,5498884.7,964872.94,1118195.01,1401437.89,398362.28,1731949.16,610317.72
665,Bristol #1,2019,729,4609245.74,1034750.98,985785.43,942555.1,335732.22,1378492.46,246517.64
700,Brodhead,2019,1051,7802582.05,997624.75,1387308.84,1905301.79,466450.42,109295.79,606527.23
721,Brown Deer,2019,1682,13662009.49,1963239.58,2419489.9,4290143.79,694564.76,2467649.53,1055862.97
735,Bruce,2019,489,3909010.45,457087.63,686038.76,1256716.95,351892.98,17524.05,332826.73
777,Burlington Area,2019,3387,27217230.6,3339146.03,2683092.38,5843373.1,2277810.99,3124233.35,1304758.08
840,Butternut,2019,170,1590992.86,345558.45,407220.8,675408.39,161910.23,0,130319.98
870,Cadott Community,2019,868,7189109.53,1171863.8,1152021.57,1500769.81,666170.5,982543.43,494650.34
882,Cambria-Friesland,2019,392,3769252.68,513660.71,579578.45,681250.7,311770.38,562120.57,465360.03
896,Cambridge,2019,906,6480357.12,1188697.47,1367865.56,2361101.38,753492.37,1028971,842199.83
903,Cameron,2019,940,5878307.67,1346095.96,1141449.67,2159603.34,477963.93,1872217.51,526599.39
910,Campbellsport,2019,1367,9356270.35,1494001.22,1466081.1,2729934.04,1209974.82,2395171.52,516022.19
980,Cashton,2019,581,4323424.17,578005.22,697093.16,866312.15,548776.99,946621.64,368633.12
994,Cassville,2019,237,2541117.83,214572.17,374179.03,514204.1,221448.38,0,154429.9
1029,Cedar Grove-Belgium Area,2019,1037,7028160.39,818013.19,1020584.32,1728694.74,460469.14,1252456.93,498841.13
1015,Cedarburg,2019,2976,19501172.41,3816576.16,3053812.12,5599416.17,1236715.85,2490814.21,1147778.98
5054,Central/Westosha UHS,2019,1166,8140448,1820781.73,1388470.21,2634297.61,525258.05,1048800,527822.04
1071,Chequamegon,2019,795,6454517.06,830229.5,1212360.11,1769745.65,646265.2,6500,477740.76
1080,Chetek-Weyerhaeuser,2019,1042,8473545.96,997988.69,1405454.21,1861823.41,1108477.22,1098340.24,1000956.42
1085,Chilton,2019,1068,7154607.6,1096220.58,1489043.81,1650966.96,438260.4,2414296.31,756151.92
1092,Chippewa Falls Area,2019,5236,37844207.94,6285749.22,5642014.82,7563469.32,3769152.68,2929062.11,3135317.66
1120,Clayton,2019,318,2666050.51,287954.1,516056.09,981699.67,170943.15,154345.88,241162.32
1127,Clear Lake,2019,625,4127385.33,507041.61,976819.84,1168325.09,389081.45,978172.52,498019.28
1134,Clinton Community,2019,1020,6843986.36,1000449.36,1426384.57,2847489.15,445089.57,738850,562339.1
1141,Clintonville,2019,1310,10803277.37,1850571.16,1616734.87,2322757.01,614103.33,1952945.6,1248757
1155,Cochrane-Fountain City,2019,598,4407449.99,469273.42,806683.94,1282559.62,613477.73,1065735.21,403183.29
1162,Colby,2019,1008,7222474.7,1009273.83,1179345.78,1607557.82,735387.09,853912.96,625349.22
1169,Coleman,2019,718,4496383.02,838392.37,696793.01,1209527.83,530012.92,979065.27,312262.59
1176,Colfax,2019,826,5658857.15,573259.38,1029964.49,1404326.86,594048.62,531817.17,365091.67
1183,Columbus,2019,1275,7965562.45,2091709.34,1467904.05,2545775.88,710752.02,825659.5,748318.69
1204,Cornell,2019,448,3287956.87,464181.12,579620.41,560402.05,311206.39,0,395458.57
1218,Crandon,2019,905,7839787.3,1189819.07,1387863.69,1871740.06,526621.79,580759.65,602701.6
1232,Crivitz,2019,770,4982849.01,912874.34,911597.48,1730805.12,472983.5,560583.76,363182.16
1246,Cuba City,2019,646,5566381.41,761870.42,969977.34,1385333.01,449932.92,663070.5,466070.92
1253,Cudahy,2019,2455,21207417.06,2891173.48,3019213.41,4736612.69,228740.61,4309402.46,1845709.74
1260,Cumberland,2019,926,6858633.64,1097755.54,1396386.39,1663874.32,832732.01,271551.3,769652.37
4970,D C Everest Area,2019,6019,43091513.37,8084454.02,4308827.93,10196349.83,3014466.62,4134648.24,3707073.83
1295,Darlington Community,2019,841,6208286.62,924932.71,839675.78,1237196.45,479513.98,901230.13,448902.53
1421,De Soto Area,2019,552,4201146.03,471853.58,780877.72,1394772.83,504458.56,551964.04,348847.1
1309,Deerfield Community,2019,806,6172720.87,963601.85,914724.01,1514179.92,360541.64,1498692.05,457832.2
1316,Deforest Area,2019,3754,24269062,5439501.54,3434343.39,6745964.23,1643936.05,4375047.2,1727713.3
1380,Delavan-Darien,2019,2529,18032410.8,3568297.97,2390039.35,5099235.75,1269422.42,1442950.51,1195381.58
1407,Denmark,2019,1454,10241216.73,1513936.45,1568204.06,2957742.88,676179.25,1232680.17,835875.17
1414,Depere,2019,4068,27162227.02,4746082.73,3446487.67,6365341.01,1346862.99,6975979.83,1884798.3
2744,Dodgeland,2019,796,6115992.75,1386751.06,919188.33,1317367.81,733956.19,1502088,337886.34
1428,Dodgeville,2019,1319,9524261.23,1854394.76,1694578.12,2814982.03,752490.61,1815848,665983.14
1449,Dover #1,2019,97,922455.53,60726.51,191238.57,166520.23,60512.52,668928.55,30188.69
1491,Drummond,2019,387,3363560.57,358224.46,492612.57,578212.01,621272.4,569763.52,218403.71
1499,Durand-Arkansaw,2019,981,6387788.26,1226414.68,922074.65,1770414.49,994890.21,1000248.7,432294.36
1540,East Troy Community,2019,1761,11736861.78,2367594.82,1809053.15,4050710.82,1007625.99,1957060.11,781407.78
1554,Eau Claire Area,2019,11800,88888768.25,13228347.75,8427919.63,18510206.71,7011218.86,9145859.8,5611920.52
1561,Edgar,2019,592,4517299.78,943528.44,707070.02,957598.86,571425.76,1111624.03,335454.1
1568,Edgerton,2019,1979,13993471.45,2730879.88,2179193.53,3253834.37,931632.77,1244268.47,1188994.93
1582,Elcho,2019,306,2693479.41,337041.65,715658.17,881401.82,403014.73,1344615.18,541536.4
1600,Eleva-Strum,2019,631,4344865.53,911426.49,864861.52,1020893.65,398144.32,1194988.38,258355.61
1645,Elk Mound Area,2019,1122,7202291.43,835477.68,1178017.15,1757522.68,507457.46,1211955.03,529695.75
1631,Elkhart Lake-Glenbeulah,2019,463,3543570.87,558758.26,840337.26,1128294.81,256443.8,494734,207267.35
1638,Elkhorn Area,2019,3092,21210229.5,4021598.18,3663259.07,4383513.55,1996904.66,4274255.07,1610536
1659,Ellsworth Community,2019,1728,11410853.73,1736872.06,1946846.1,3496139.77,1641205.33,3367181.11,1169834.39
714,Elmbrook,2019,7344,54087774.81,10203420.07,5908315.86,11305924.11,4393697.91,15695295.06,3319624.41
1666,Elmwood,2019,329,2596088.2,279456.3,558049.66,895207.01,296106.73,195349.24,309917.37
1687,Erin,2019,230,1075178.53,332674.85,393231.38,444764.69,169540.71,791982.53,209449.26
1694,Evansville Community,2019,1816,13569468.61,1993895.68,1840539.09,4098698.51,825944.58,3140290,708363.2
1729,Fall Creek,2019,787,5478667.78,580130.69,876906.63,1420979.19,258588.63,1600942.88,360707.94
1736,Fall River,2019,524,4118521.65,476761.96,668641.95,876228.14,325192.48,397553.25,298333.4
1813,Fennimore Community,2019,750,5989322.11,1035871.16,925780.05,1207890.34,493185.52,1005199.73,498999.67
5757,Flambeau,2019,639,4772011.69,767832.62,736299.9,1877720.96,569567.13,17330.74,433096.78
