423,DISTRICT_NAME,FISCAL_YEAR,Member,Instruction,Pupil_Staff_Support,Admin,Operation_Other,Transportation_cost,Facility_cost,Food_comm_service_cost
CODE,Use arrow at right to select district.,0,0,0,0,0,0,0,0,0
7,Abbotsford,2021,795,5864021.77,561306.41,951675.18,1306162.74,284588.19,713053.29,674102.51
14,Adams-Friendship Area,2021,1403,11976390.8,2655612.4,1895886.72,2863801.83,964664.79,172144.3,1277857.45
63,Albany,2021,410,4036545.03,654396.92,523224.33,804264.88,234252.94,476722.23,136182.86
70,Algoma,2021,696,4956397.67,724594.5,806362.25,1722076.68,222379.63,1026480.71,719352.65
84,Alma,2021,222,1898624.45,300178.05,441734.72,467461.02,192826.79,326482.3,176462.82
91,Alma Center,2021,533,4531126.89,448422.88,800960.61,1227637.49,267997.34,1093982.93,400919.89
105,Almond-Bancroft,2021,438,3701741.38,436248.71,503816.46,787122.47,373966.98,267355.63,234469.71
112,Altoona,2021,1581,11290980.5,2439957.97,1820544.68,3099387.65,872175.88,1844914.95,1127206.57
119,Amery,2021,1456,12893951.87,2048231.25,1891074.78,3479792.35,696789.85,1881477.61,1920012.2
140,Antigo,2021,2175,17339584.33,3521548.05,2826528.65,4300995.33,1336893.55,1322070.18,1400180.42
147,Appleton Area,2021,14581,116708915.6,22912798.25,12259891.03,28757779.62,4670983.56,12121117.88,6806006.97
154,Arcadia,2021,1255,10517650.63,2178670.18,1322284.41,2436294.04,520891.85,2536580.49,1228991.76
161,Argyle,2021,286,2582968.51,218540.06,546424.36,484082.65,235615.6,591330.77,203220.17
2450,Arrowhead UHS,2021,2040,15125042.79,2984533.57,1979224.38,3672626.19,895912.48,2439653.37,811325.71
170,Ashland,2021,2008,15092350.35,3744621.33,2395204.89,5225110.78,1279484.6,3220097.1,963996.72
182,Ashwaubenon,2021,2186,16165556.44,3978389.44,2720240.97,4720733.87,994274.1,1558694.94,1844929.07
196,Athens,2021,403,4203618.4,667386.32,770713.85,832882.72,500717.83,134445.6,241741.05
203,Auburndale,2021,748,6226475.63,737685.92,1067272.49,1108115.51,648352.43,-59642.55,412915.62
217,Augusta,2021,601,5132244.08,1267718.72,980004.52,1673546.01,417957.86,345025,725500.18
231,Baldwin-Woodville Area,2021,1645,12011318.18,2262363.56,1674397.1,2527104.23,839565.64,2993947.7,1308107.33
245,Bangor,2021,604,5297783.81,718476.03,821926.15,1018960.88,332098.41,879243.64,310507.2
280,Baraboo,2021,2890,22431754.03,4973242.82,2773763.47,4348842.6,1278795.9,7235291.39,1656038.14
287,Barneveld,2021,412,3285588.9,678991.35,522266.98,836850.39,94930.1,1449052.35,148942.77
308,Barron Area,2021,1336,11934746.29,1614533.52,1582627.55,2987534.13,695609.5,1147785.5,1073784.63
315,Bayfield,2021,431,5949271.53,1487354.24,1334146.64,1472201.65,444457.67,499388.24,491049.73
336,Beaver Dam,2021,3456,25830569.77,4706030.98,3425331,6296835.67,1333033.84,8001476.89,2209877.81
4263,Beecher-Dunbar-Pembine,2021,241,2853123.63,555836.92,679867.7,697370.33,174654.26,17714.99,239847.46
350,Belleville,2021,918,6547472.7,1310723.24,1245067.07,1734662.17,224151.43,2806876.65,438623.38
364,Belmont Community,2021,349,2798804.78,567009.24,508999.9,881084.05,145645.56,630600,230691.76
413,Beloit,2021,6484,58937600.31,13109925.76,7818802.21,14133451.23,2354071.58,13165865.72,3906024.39
422,Beloit Turner,2021,1195,6820218.13,2536980.18,1380007.43,3078048.25,577869.03,4219132.22,580475.88
427,Benton,2021,236,2105292.29,193954.59,542348.32,523428.65,104796.32,43007.95,221877.16
434,Berlin Area,2021,1534,12444173.32,2523940.36,1507368.26,2530674.62,880524.72,1582040,1164324.94
6013,Big Foot UHS,2021,505,3613358.85,629401.15,914034.23,2110626.55,309960.52,1528033.54,879815.49
441,Birchwood,2021,204,1649380.34,326728.18,643912.5,464296.45,296376.61,1044225.04,295979.52
2240,Black Hawk,2021,397,3639153.4,428649.57,569790.22,1580936.34,370541.48,202526.33,226222.34
476,Black River Falls,2021,1713,14591386.52,2482938.65,2169999.14,2602606.9,781514.48,6339301.4,1393231.32
485,Blair-Taylor,2021,633,5116868.3,982071.98,833677.69,1210895.44,455399.64,1416689.79,492620.16
497,Bloomer,2021,1197,9058867.21,1752323.54,1683700.74,1757655.95,869696.34,2190484.88,528439.21
602,Bonduel,2021,760,6306422.2,910884.61,1162546.44,1268037.38,514426.05,852212,406763.19
609,Boscobel,2021,772,7349632.38,849317.92,957688.85,1303478.34,370308.02,79550,342088.27
623,Bowler,2021,390,3769225.23,685313.61,711391.86,1138277.02,383495.85,85969.56,301996.08
637,Boyceville Community,2021,700,5965582.85,920050.6,1011836.6,1388376.33,424903.69,989750,484423.35
657,Brighton #1,2021,127,678170.94,192854.58,272370.21,421929.98,100898.28,169620,85397.92
658,Brillion,2021,878,6359710.06,1062773.55,1172691.3,1453383.69,345487.46,1905410.97,789835.96
665,Bristol #1,2021,736,5044410.61,696878.15,1104661.45,1222371.41,315944.45,1631096.61,251283.22
700,Brodhead,2021,970,8381718.92,1109885.52,1469825.67,2016596.92,501131.81,0,577234.79
721,Brown Deer,2021,1677,14175129.5,2426423.67,2704615.12,3789960.94,547272.56,3047549.88,643635.52
735,Bruce,2021,503,4357793.66,405934.11,710054.82,1117498.22,429330.79,3575,361788.09
777,Burlington Area,2021,3367,29332771.25,3798209.82,2864119.03,5880920.61,2196988.34,4323012.22,1419931.14
840,Butternut,2021,134,1438712.21,378376.95,361702.14,359618.72,123628.1,91626,148868.64
870,Cadott Community,2021,831,7842722.53,1314453.41,1267187.35,1157749.83,766698.27,1450541.06,504533.49
882,Cambria-Friesland,2021,344,4100542.18,612846.67,634937.82,844930.04,230070.55,66446.1,503654.08
896,Cambridge,2021,870,6419345.74,1196951.99,1587125.54,2158641.53,624807.02,402278.78,928726.84
903,Cameron,2021,872,6438203.47,1244132.7,1485028,1578194.34,451279.78,1762687.12,720626.9
910,Campbellsport,2021,1325,10122677.55,1857557.03,1477203.68,3198452.26,1105806.73,2230914.12,462294.37
980,Cashton,2021,563,4606023.15,670386.35,735318.01,870803.21,542504.9,894418.48,434626.95
994,Cassville,2021,236,2553951.96,207980.08,370883.47,635012.48,184252.66,0,220539.38
1029,Cedar Grove-Belgium Area,2021,974,7176271.75,1078431.62,1356200.76,1548147.07,392206.59,1152521.74,418579.92
1015,Cedarburg,2021,3076,21444509.71,4161234.48,3149647.7,6064734.24,1136860.65,5268542.78,1155465.57
5054,Central/Westosha UHS,2021,1141,8401378.01,1751119.62,1655180.68,2326929.39,401158.34,1072870.2,423548.14
1071,Chequamegon,2021,741,6872402.66,1033455.75,1271193.11,1828540.89,595379.91,334559,612882.69
1080,Chetek-Weyerhaeuser,2021,1056,8969638.61,962289.95,1361973.19,2030375.71,1126811.15,367316.52,1021823.85
1085,Chilton,2021,1082,7401207.21,1078120.2,1501307.59,1654222.5,379900.04,2429363.28,923895.68
1092,Chippewa Falls Area,2021,5057,40620662.09,6530672.22,5887948.37,7139586.83,3905671.17,5654292.53,2489800.35
1120,Clayton,2021,300,2992082.57,324589.44,448497.17,930833.76,167802.04,66063.93,426731.14
1127,Clear Lake,2021,589,4435514.77,569190.81,933732.7,1023947.39,350250.17,1401801.88,574132.06
1134,Clinton Community,2021,975,6652141.81,1209177.79,1489211.02,3132730.45,591463.08,22757102.51,611045.46
1141,Clintonville,2021,1231,11157265.22,1987362.29,1719970.97,2494487.54,496330.05,2610040.71,1553042.94
1155,Cochrane-Fountain City,2021,581,4238504.72,402065.68,809655.54,1318294.64,566471.36,825700,339270.78
1162,Colby,2021,990,7296576.26,1141523.88,1147240.3,1723840.81,655024.65,894398.66,565522.27
1169,Coleman,2021,689,5162703.77,972814.02,674639.24,1069491.13,510979.07,1608160.7,387416.54
1176,Colfax,2021,757,5767704.3,725331.38,1064989.85,1460154.99,499248.6,591946.41,377979.72
1183,Columbus,2021,1231,8675255.93,2183279.53,1280674.93,2275625.73,696230.6,2128929.58,708298.59
1204,Cornell,2021,405,3786448.59,415074.67,647412.53,679028.34,326405.49,0,412002.91
1218,Crandon,2021,897,7851561.35,1304184.75,1153152.1,1808745.58,442900.44,111146.74,552067.68
1232,Crivitz,2021,753,5041198.59,895547.36,1000845.42,1548799.92,476651.32,104186.59,397975.15
1246,Cuba City,2021,611,5538627.04,909815.33,943892.09,1400569.12,376866.28,701823.39,547939.55
1253,Cudahy,2021,2345,22266699.95,3091184.47,3093434.49,5485974.79,222887.69,3351432.02,1600470
1260,Cumberland,2021,912,7665670.36,1272295.75,1545325.32,1417289.93,861356.69,65000,840386.79
4970,D C Everest Area,2021,5883,50964325.91,8344428.86,4640581.59,6670074.17,2962171.16,8356767.69,3739690.29
1295,Darlington Community,2021,865,7038570.26,1144189.26,887484.71,1550540.36,506098.61,721214.91,445077.04
1421,De Soto Area,2021,528,4320839.72,487874.14,826296.83,1429754.9,542393.49,539807.42,355289.89
1309,Deerfield Community,2021,740,5816349.93,981365.88,964609.64,1446845.36,250973.31,1193650,373175.62
1316,Deforest Area,2021,3847,27186952.32,6373601.74,3711344.29,7614529.78,1615908.07,14173694.28,1329903.17
1380,Delavan-Darien,2021,2526,20723004.73,3961791.64,2566753.88,4560528.2,1185789.05,1738720.79,1222974.29
1407,Denmark,2021,1461,10608561.24,1763995.04,1620636.52,3340032.85,771926.35,1080445.86,976838.74
1414,Depere,2021,4129,30284394.73,5219614.61,3855518.95,6800657.89,1311416.12,4859832.34,1934976.06
2744,Dodgeland,2021,695,5838622.32,1156208.31,995924.26,1748873.19,516498.77,920439.31,415872.31
1428,Dodgeville,2021,1221,10180688.01,1643996.14,1792284.37,2327304.93,698335.34,2654644.02,619194.43
1449,Dover #1,2021,91,719942.49,123803.39,162302.99,131145.03,53830.97,9180.25,29003.66
1491,Drummond,2021,368,3669864.61,373089.76,527573.75,573657.3,541388.81,84939.27,219367.79
1499,Durand-Arkansaw,2021,1010,6803731.09,1523943.16,980822.05,1700769,1034127.14,1270089.46,453160.95
1540,East Troy Community,2021,1665,12308563.72,2685451.68,1850089.71,3595332.59,858231.02,2602583.07,774196.55
1554,Eau Claire Area,2021,11279,96283477.21,13758520.43,8310465.72,18617021.71,5572562.78,8709322.75,4446075.49
1561,Edgar,2021,586,5139454.87,1055269.56,739245.83,830954.87,527511.95,1008162.91,394004.86
1568,Edgerton,2021,1950,14490054.71,2745058.31,2207663.54,4314418.61,983919.8,4501299.9,786563.79
1582,Elcho,2021,284,2802394.74,291030.83,820789.31,860290.47,352807.73,1309447.57,622062.36
1600,Eleva-Strum,2021,621,4715161.64,1278084.4,889411.9,1073569.95,395043.45,1441785.12,311125.1
1645,Elk Mound Area,2021,1059,7642472.28,1054194.59,1221033.33,1803171.4,489195.97,1137310.95,611995.66
1631,Elkhart Lake-Glenbeulah,2021,430,3712642.35,726265.7,858151.53,980960.01,251534.65,668990.55,285793.24
1638,Elkhorn Area,2021,3064,21863957.53,4412299.83,3931495.19,5349856.48,2116905.2,3992997.92,1808765.72
1659,Ellsworth Community,2021,1670,12071905.44,2110437.13,2047157.68,3043884.25,1452544.06,2660782.11,1276619.85
714,Elmbrook,2021,7367,58987297.71,11179283.54,6201165.84,11607318.57,4218294.01,14035872.54,3131223.86
1666,Elmwood,2021,316,2707080.79,366812.23,559892.8,771697.25,275722.86,184.06,419048.45
1687,Erin,2021,229,1423480.44,345776.56,402669.9,536492.25,158491.81,337211.39,239476.28
1694,Evansville Community,2021,1721,13813687.01,2682386.16,1898731.32,3797679.17,688430.82,4454126.4,696606.53
1729,Fall Creek,2021,748,5469214.13,692380.57,935730.91,1491245.03,356882.66,1675777.7,391135.62
