423,DISTRICT NAME,PROPTAX,FEDERAL,STATE,LOCAL,TOTAL,MEMBER
CODE,Use arrow at right to select district.,,,,,,
7,Abbotsford,2083227,953036.11,7452256.84,278642.2,10767162.15,775
14,Adams-Friendship Area,11131295,2689740.62,8870177.62,834039.3,23525252.54,1511
63,Albany,3177694,346574.24,3407735.52,446756.32,7378760.08,456
70,Algoma,3425587,786992.57,5711573.86,535291.62,10459445.05,753
84,Alma,2239440,226704.19,1256589.53,228973.16,3951706.88,234
91,Alma Center,3076270,762237,5445822.64,376483.52,9660813.16,549
105,Almond-Bancroft,1850189,514512.92,4094685.94,200630.96,6660018.82,440
112,Altoona,6677794,1073661.53,13461508.77,705218.05,21918182.35,1572
119,Amery,8970441,1322584.2,12179751.63,1484255.27,23957032.1,1622
140,Antigo,8373581,2570421.53,19377424.03,1050025.45,31371452.01,2323
147,Appleton Area,69809775,12687103.42,118579355.7,5209287.11,206285521.3,15477
154,Arcadia,4711602,1658335.74,13268153.14,491031.78,20129122.66,1352
161,Argyle,1537409,321933.07,2571115.19,206607.97,4637065.23,290
2450,Arrowhead UHS,18281991,711939.65,7253006.39,2702075.85,28949012.89,2068
170,Ashland,6698277,3494726.64,21334584.5,470803.99,31998392.13,2205
182,Ashwaubenon,16257237,1888432.24,10471030.59,1169758.61,29786458.44,2299
196,Athens,2243861,498791.38,3669264.14,267315.08,6679231.6,446
203,Auburndale,2543120,631961.96,6988035.3,507271.29,10670388.55,766
217,Augusta,3630936,914014.76,5247203.29,174577.93,9966731.98,605
231,Baldwin-Woodville Area,6820554,836691.37,14264462.36,1333338.96,23255046.69,1692
245,Bangor,3150226,512709.08,4952922.66,207330.83,8823188.57,626
280,Baraboo,16609342,2334207.52,21544940.55,4620236.25,45108726.32,3012
287,Barneveld,2845979,171572.68,3178476.94,636538.02,6832566.64,423
308,Barron Area,5575559,1450204.7,13952559.13,784205.47,21762528.3,1376
315,Bayfield,6584459,2955786.45,1774237.17,163398.01,11477880.63,442
336,Beaver Dam,15790188,3025801.22,28494543.97,4003370.37,51313903.56,3522
4263,Beecher-Dunbar-Pembine,3495674,316153.22,975095.16,236224.96,5023147.34,242
350,Belleville,6226476,472592.17,6637387.06,468139.81,13804595.04,953
364,Belmont Community,1755864,368206.05,3074442.55,258287.19,5456799.79,376
413,Beloit,16533493,10811469.52,80976142.8,2896429.21,111217534.5,7101
422,Beloit Turner,5669101,930755.3,10443051.1,563437.69,17606345.09,1224
427,Benton,1176147,241332.47,2345911.5,217646.27,3981037.24,247
434,Berlin Area,6568612,1792128.31,13211655.45,352178.5,21924574.26,1579
6013,Big Foot UHS,8133081,261375,938515.86,720108.63,10053080.49,510
441,Birchwood,3818225,337404.18,711788.44,92384.17,4959801.79,220
2240,Black Hawk,1361921,438701.15,3606232.65,115030.48,5521885.28,404
476,Black River Falls,8372580,2718202.28,14595705.42,1550766.07,27237253.77,1737
485,Blair-Taylor,4261886,798762.06,4533714.11,273296.69,9867658.86,661
497,Bloomer,6282739,737459.84,10778224.42,458945.36,18257368.62,1301
602,Bonduel,4370892,764621.82,5971719.65,379706.05,11486939.52,828
609,Boscobel,3302827,799215.3,8159596.5,256794.38,12518433.18,795
623,Bowler,1886207,1380054.72,3906511.2,173391.46,7346164.38,407
637,Boyceville Community,3119685,771393.55,6523094.3,226829.05,10641001.9,731
657,Brighton #1,1096794,95793.97,351060.09,72822.91,1616470.97,117
658,Brillion,3884172,607307.45,7351689.37,861491.59,12704660.41,908
665,Bristol #1,4679821,319153.92,4480084.68,191801.65,9670861.25,762
700,Brodhead,3881176,926941.54,8309397.8,1623106.2,14740621.54,1036
721,Brown Deer,13129481,1349014.98,12839777.18,921901.2,28240174.36,1726
735,Bruce,2881922,636692.78,3437262.27,108296.61,7064173.66,503
777,Burlington Area,22277787,2265472.1,21087744.81,2420982.96,48051986.87,3415
840,Butternut,1242217,280033.09,1395948.11,289527.64,3207725.84,152
870,Cadott Community,4733101,730630.38,7995432.18,798816.01,14257979.57,850
882,Cambria-Friesland,2558346,469139.9,3383944.16,627348.71,7038778.77,395
896,Cambridge,7180729,583832.61,5063715.92,498755.33,13327032.86,904
903,Cameron,4029666,802087.75,8727782.08,251847.48,13811383.31,940
910,Campbellsport,10220018,879665.42,8341869.42,564885.61,20006438.45,1364
980,Cashton,2207443,827603.12,5552685.63,548342.59,9136074.34,600
994,Cassville,1775000,294825.39,1838812.39,269593.5,4178231.28,241
1029,Cedar Grove-Belgium Area,5600825,556165.65,7040164.95,589668.04,13786823.64,1025
1015,Cedarburg,23631883,1099266.63,14436581.37,4149378.51,43317109.51,3047
